"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x483768946","x1540002533275467776",2022-06-23 16:03:10,"icerowe","I wish I could send this to everyone who thinks/has suggested I’m autistic. I hope it makes people think and I hope it’s clear that I’m not against labels, but I think people should be really careful and not make assumptions when they can’t see the full picture #neurodiversity https://t.co/jYBug7ghSf","Twitter for iPhone",277,,,,TRUE,FALSE,3,0,,,"neurodiversity",,"twitter.com/icerowe/status…","https://t.co/jYBug7ghSf","https://twitter.com/icerowe/status/1539933742592139264",,,,,,,,,,,"en","x1539933742592139264","Dyspraxia vs Autism. Is labelling always really helpful? 

This has been a long time coming and it was therapeutic to write 

#neurodiversity #neurodivergent #neurodiverse #dyspraxia #dcd #autism  https://t.co/MqrbkWhjRp",2022-06-23 11:29:49,"Twitter for iPhone",11,3,"x483768946","icerowe","Immie",1266,868,33044,"West Midlands, England","23. Public health student with interests in politics, inequalities, behaviour change, mental health, neurodiversity. Runner, blogger, nature lover",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/icerowe/status/1540002533275467776","Immie","West Midlands, England","23. Public health student with interests in politics, inequalities, behaviour change, mental health, neurodiversity. Runner, blogger, nature lover","https://t.co/3aDWqJqiSY",FALSE,1266,868,27,33044,62100,2012-02-05 11:14:50,FALSE,"https://t.co/3aDWqJqiSY","https://immies.home.blog/",,"https://pbs.twimg.com/profile_banners/483768946/1639424125","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1517525313210695682/CxadvaJg_normal.jpg"
"x483768946","x1539933742592139264",2022-06-23 11:29:49,"icerowe","Dyspraxia vs Autism. Is labelling always really helpful? 

This has been a long time coming and it was therapeutic to write 

#neurodiversity #neurodivergent #neurodiverse #dyspraxia #dcd #autism  https://t.co/MqrbkWhjRp","Twitter for iPhone",220,,,,FALSE,FALSE,11,3,,,"neurodiversity neurodivergent neurodiverse dyspraxia dcd autism",,"immies.home.blog/2022/06/23/dys…","https://t.co/MqrbkWhjRp","https://immies.home.blog/2022/06/23/dyspraxia-vs-autism-is-labelling-always-really-helpful/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/icerowe/status/1539933742592139264","Immie","West Midlands, England","23. Public health student with interests in politics, inequalities, behaviour change, mental health, neurodiversity. Runner, blogger, nature lover","https://t.co/3aDWqJqiSY",FALSE,1266,868,27,33044,62100,2012-02-05 11:14:50,FALSE,"https://t.co/3aDWqJqiSY","https://immies.home.blog/",,"https://pbs.twimg.com/profile_banners/483768946/1639424125","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1517525313210695682/CxadvaJg_normal.jpg"
"x42435097","x1540002484122488832",2022-06-23 16:02:58,"brainenergyteam","Whether it's taking part in a BEST activity, sharing a post, becoming a member, or making a donation, thanks for your support. It's appreciated!

Learn more: https://t.co/EL17x3F57j

#EmpowerYourBrain #Nonprofit #BrainHealth #BrainInjury #Neurodiversity #SecondLife #EtopiaSL https://t.co/xIbrgKghPR","Hootsuite Inc.",275,,,,FALSE,FALSE,0,0,,,"EmpowerYourBrain Nonprofit BrainHealth BrainInjury Neurodiversity SecondLife EtopiaSL",,"ow.ly/4eVQ50JEXk1","https://t.co/EL17x3F57j","http://ow.ly/4eVQ50JEXk1","http://pbs.twimg.com/media/FV8wGTfXkAADvmh.jpg","https://t.co/xIbrgKghPR","https://twitter.com/brainenergyteam/status/1540002484122488832/photo/1","photo","http://pbs.twimg.com/media/FV8wGTfXkAADvmh.jpg","https://t.co/xIbrgKghPR","https://twitter.com/brainenergyteam/status/1540002484122488832/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/brainenergyteam/status/1540002484122488832","BEST"," United States, online ","BEST is a US 501c3 nonprofit that supports & empowers those with brain injury, cognitive challenges, neurodiversity, caregivers & more. #EmpowerYourBrain","https://t.co/l4d2gChqgH",FALSE,2653,3225,73,14437,15466,2009-05-25 16:27:35,FALSE,"https://t.co/l4d2gChqgH","http://brainenergysupportteam.org",,"https://pbs.twimg.com/profile_banners/42435097/1652118021","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/857968761860530176/uJuiWdQy_normal.jpg"
"x1280643865205063680","x1539997547787259906",2022-06-23 15:43:21,"awakeprojectorg","#Autistic #autism #autismacceptance #actuallyautistic #Neurodiversity #adhd #mentalhealth #psychology https://t.co/X4rT5hIMTC","Twitter Web App",101,,,,FALSE,FALSE,3,0,,,"Autistic autism autismacceptance actuallyautistic Neurodiversity adhd mentalhealth psychology",,,,,"http://pbs.twimg.com/media/FV8rl2cUIAE0AH4.jpg","https://t.co/X4rT5hIMTC","https://twitter.com/awakeprojectorg/status/1539997547787259906/photo/1","photo","http://pbs.twimg.com/media/FV8rl2cUIAE0AH4.jpg","https://t.co/X4rT5hIMTC","https://twitter.com/awakeprojectorg/status/1539997547787259906/photo/1",,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/awakeprojectorg/status/1539997547787259906","TheAWAKEProject.org","","knowledge to empower autistics with posts from an #actuallyautistic psychologist. #autistic #neurodiverse #autism","https://t.co/yUc25k3qri",FALSE,94,2,0,215,33,2020-07-07 23:24:44,FALSE,"https://t.co/yUc25k3qri","http://theawakeproject.org",,"https://pbs.twimg.com/profile_banners/1280643865205063680/1599185268",,"http://pbs.twimg.com/profile_images/1536765604777971712/aiDBOSoH_normal.jpg"
"x1280643865205063680","x1539800494264111104",2022-06-23 02:40:20,"awakeprojectorg","#Autistic #autism #autismacceptance #actuallyautistic #Neurodiversity #adhd #mentalhealth #psychology https://t.co/7kXxCD9nze","Twitter Web App",101,,,,FALSE,FALSE,2,0,,,"Autistic autism autismacceptance actuallyautistic Neurodiversity adhd mentalhealth psychology",,,,,"http://pbs.twimg.com/media/FV54X1SUYAAyf98.jpg","https://t.co/7kXxCD9nze","https://twitter.com/awakeprojectorg/status/1539800494264111104/photo/1","photo","http://pbs.twimg.com/media/FV54X1SUYAAyf98.jpg","https://t.co/7kXxCD9nze","https://twitter.com/awakeprojectorg/status/1539800494264111104/photo/1",,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/awakeprojectorg/status/1539800494264111104","TheAWAKEProject.org","","knowledge to empower autistics with posts from an #actuallyautistic psychologist. #autistic #neurodiverse #autism","https://t.co/yUc25k3qri",FALSE,94,2,0,215,33,2020-07-07 23:24:44,FALSE,"https://t.co/yUc25k3qri","http://theawakeproject.org",,"https://pbs.twimg.com/profile_banners/1280643865205063680/1599185268",,"http://pbs.twimg.com/profile_images/1536765604777971712/aiDBOSoH_normal.jpg"
"x1015685380295839744","x1539992935760105473",2022-06-23 15:25:02,"DI_Leaders","🌟 #Neurodiversity and the Future of Work. Free 50min online conversation 15 Sept - 11:05am to 11:55am BST. Hear from Amy McClure @texthelp; Akua Opong - LSEG; Sarah Brooks-Pearce - Auto Trader UK.
For details - https://t.co/SIoTELUIcq
#DILeaders #Diversity #Inclusion https://t.co/k9VrNQN3QG","Sprout Social",267,,,,FALSE,FALSE,0,0,,,"Neurodiversity DILeaders Diversity Inclusion",,"dileaders.com/events/neurodi…","https://t.co/SIoTELUIcq","https://dileaders.com/events/neurodiversity-and-the-future-of-work/","http://pbs.twimg.com/media/FV8nac7WIAECyJo.jpg","https://t.co/k9VrNQN3QG","https://twitter.com/DI_Leaders/status/1539992935760105473/photo/1","photo","http://pbs.twimg.com/media/FV8nac7WIAECyJo.jpg","https://t.co/k9VrNQN3QG","https://twitter.com/DI_Leaders/status/1539992935760105473/photo/1",,"x48459694","texthelp","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DI_Leaders/status/1539992935760105473","d&i Leaders (Diversity and Inclusion Leaders)","London, England","Diversity and Inclusion Leaders provides independent news, reports, online & in-person events for diversity, inclusion, HR, talent & recruitment professionals.","https://t.co/VEHOYzaGLh",FALSE,4851,4996,65,5931,2913,2018-07-07 19:53:59,FALSE,"https://t.co/VEHOYzaGLh","http://www.dileaders.com",,"https://pbs.twimg.com/profile_banners/1015685380295839744/1578217865","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1030103418164191233/fI4h1Hq-_normal.jpg"
"x4055401312","x1539992145330900995",2022-06-23 15:21:53,"BurckhardtBooks","#Podcast: Book Banter with Dianne Burckhardt
EP 19: Rainy Days Cause Delays! 
I had a good reason for dropping the podcast Wed. ... my life is ... different. Find out what I mean, listen now on your fav. podcast service or at https://t.co/Wvx0LaJxsH #braindamaged #Neurodiversity https://t.co/eXsLk5kz2q","Twitter Web App",279,,,,FALSE,FALSE,0,0,,,"Podcast braindamaged Neurodiversity",,"buzzsprout.com/1923054/108424…","https://t.co/Wvx0LaJxsH","https://www.buzzsprout.com/1923054/10842424-ep-19-rainy-days-cause-delays.mp3?download=true","http://pbs.twimg.com/ext_tw_video_thumb/1539992084945539076/pu/img/HOJPtOux-ZehnIJ1.jpg","https://t.co/eXsLk5kz2q","https://twitter.com/BurckhardtBooks/status/1539992145330900995/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1539992084945539076/pu/img/HOJPtOux-ZehnIJ1.jpg","https://t.co/eXsLk5kz2q","https://twitter.com/BurckhardtBooks/status/1539992145330900995/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BurckhardtBooks/status/1539992145330900995","Burckhardt Books, Award-Winning Indie Authors","","Burckhardt Books • Home of Award-Winning Indie Authors

Follow us on #Facebook @ burckhardt.books.authors and 
#Instagram @ burckhardt_books_authors","https://t.co/YwMVrH5Ij4",FALSE,907,1084,18,2032,981,2015-10-27 19:00:20,FALSE,"https://t.co/YwMVrH5Ij4","https://www.BurckhardtBooks.com",,"https://pbs.twimg.com/profile_banners/4055401312/1654874411","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1534181661197357057/F1mAhNIg_normal.jpg"
"x1219036889497423872","x1539988587315445760",2022-06-23 15:07:45,"SupportBalance","Happy #DevelopmentalServiceWorkerAppreciationDay!

Balance SSCS would like to recognize all DSWs for their dedication, commitment &amp; advocacy for the people they support

Thank you for all that you do!

#HamOnt #DevelopmentalServices #autism #disability #neurodiversity #DSO https://t.co/MapppUBrMz","Twitter Web App",277,,,,FALSE,FALSE,0,0,,,"DevelopmentalServiceWorkerAppreciationDay HamOnt DevelopmentalServices autism disability neurodiversity DSO",,,,,"http://pbs.twimg.com/media/FV8jPtPXgAAO4Hx.jpg","https://t.co/MapppUBrMz","https://twitter.com/SupportBalance/status/1539988587315445760/photo/1","photo","http://pbs.twimg.com/media/FV8jPtPXgAAO4Hx.jpg","https://t.co/MapppUBrMz","https://twitter.com/SupportBalance/status/1539988587315445760/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SupportBalance/status/1539988587315445760","Balance Support & Self Care Studios","Hamilton, Ontario","A not-for-profit that supports parents/caregivers of individuals with diverse needs","https://t.co/fpuFkwDbZ1",FALSE,124,130,0,4349,1424,2020-01-19 23:20:31,FALSE,"https://t.co/fpuFkwDbZ1","https://linktr.ee/BalanceSSCS",,"https://pbs.twimg.com/profile_banners/1219036889497423872/1645545070",,"http://pbs.twimg.com/profile_images/1219037482945318912/QyZoM_R4_normal.jpg"
"x1136497134461751296","x1539987423358238728",2022-06-23 15:03:07,"Perverse_Writer","#TheBear is ✨amazing.✨ It’s a love letter to mental health and #Neurodiversity, and it has all the feels. 🤩","Twitter for iPhone",107,,,,FALSE,FALSE,0,0,,,"TheBear Neurodiversity",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Perverse_Writer/status/1539987423358238728","Mikayla Graves","Pennsylvania, USA","Author of an upcoming steamy paranormal-romance series set in a world of elemental magic, energy feeders, and shifters--oh my! 😀🤣",,FALSE,411,770,2,310,870,2019-06-06 04:56:46,FALSE,,,,"https://pbs.twimg.com/profile_banners/1136497134461751296/1563208257","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1136497426536312832/7J5RsNk-_normal.jpg"
"x1049203912937545728","x1539987353586081793",2022-06-23 15:02:51,"NeuroClastic","Hi! We need a publisher for a children's picture book fully ready to print, written and illustrated by #ActuallyAutistic co-authors! An intersectional, #OwnVoice tale of #Autism, #NonSpeakingapraxia, #SelectiveMutism, #Dyslexia, #Friendship, &amp; #NeuroDiversity!","Twitter for iPhone",264,,,,FALSE,FALSE,15,8,,,"ActuallyAutistic OwnVoice Autism NonSpeakingapraxia SelectiveMutism Dyslexia Friendship NeuroDiversity",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NeuroClastic/status/1539987353586081793","NeuroClastic","The Cosmos","A 501(c)3 nonprofit organization bringing you resources and #OwnVoice #ActuallyAutistic experiences","https://t.co/qZp4rgomSJ",FALSE,13369,3142,158,14346,29662,2018-10-08 07:44:40,FALSE,"https://t.co/qZp4rgomSJ","https://xn--4k8hfa298b.y.at",,"https://pbs.twimg.com/profile_banners/1049203912937545728/1605919925","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1320843078794727424/vh1ypfhs_normal.jpg"
"x929448902","x1539985108320616448",2022-06-23 14:53:56,"mASCotsupport","💚🧡💙All our autistic mASCot Cafe volunteers and parents out for a pizza, you are all amazing #ASC #Autism #LoveanAutistic #Neurodiversity https://t.co/kUb6w06Qzd","Twitter for iPhone",136,,,,FALSE,FALSE,0,0,,,"ASC Autism LoveanAutistic Neurodiversity",,,,,"http://pbs.twimg.com/media/FV8gSwZXwAEA_AD.jpg","https://t.co/kUb6w06Qzd","https://twitter.com/mASCotsupport/status/1539985108320616448/photo/1","photo","http://pbs.twimg.com/media/FV8gSwZXwAEA_AD.jpg","https://t.co/kUb6w06Qzd","https://twitter.com/mASCotsupport/status/1539985108320616448/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mASCotsupport/status/1539985108320616448","💚mASCot🧡💙","Brighton & Hove","We are a parent to parent Autism Support Network for families in B&H - we celebrate our diverse families, support our diverse families and we rock 😊","https://t.co/UoC27xM6Ae",FALSE,467,586,16,1365,653,2012-11-06 10:39:10,FALSE,"https://t.co/UoC27xM6Ae","http://www.asc-mascot.com",,"https://pbs.twimg.com/profile_banners/929448902/1618267847","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1214714945474113538/VFoMznrq_normal.jpg"
"x773945820349693957","x1539981622459727877",2022-06-23 14:40:04,"dyslexiashowuk","Don't forget that Dyslexia Show Digital is back! We have an amazing live webinar for you with Aidan Healy, Business Psychologist and the CEO of Lexxic. All bookings via SEND Group https://t.co/dNwaknJLwy
#workplace #diversity #neurodiversity @LexxicLtd @Aidan_Healy  @SENDGroupUK https://t.co/rDA4GxFfRO","Buffer",279,,,,FALSE,FALSE,2,2,,,"workplace diversity neurodiversity",,"buff.ly/3ntGjSB","https://t.co/dNwaknJLwy","https://buff.ly/3ntGjSB","http://pbs.twimg.com/media/FV8dH3jWYAANju6.jpg","https://t.co/rDA4GxFfRO","https://twitter.com/dyslexiashowuk/status/1539981622459727877/photo/1","photo","http://pbs.twimg.com/media/FV8dH3jWYAANju6.jpg","https://t.co/rDA4GxFfRO","https://twitter.com/dyslexiashowuk/status/1539981622459727877/photo/1",,"x1281100314 x400914640 x716628945534320640","LexxicLtd Aidan_Healy SENDGroupUK","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/dyslexiashowuk/status/1539981622459727877","Dyslexia Show","United Kingdom","The UK’s first free to attend national exhibition dedicated entirely to dyslexia. Sign up for your FREE tickets today. #dyslexiaShow23 #DS2023","https://t.co/BKFlRkiOnu",FALSE,1778,418,6,2132,1035,2016-09-08 18:07:17,FALSE,"https://t.co/BKFlRkiOnu","https://dyslexiashow.co.uk",,"https://pbs.twimg.com/profile_banners/773945820349693957/1637876167","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1303247767725375489/db2uzFRS_normal.png"
"x773945820349693957","x1539926000267628548",2022-06-23 10:59:03,"dyslexiashowuk","Have you seen that registration for 2023 is open? Go on, you know you want to 😉 
https://t.co/TGw1ydTzWL
#DS2023 #dyslexia #SEND #support #SENCO #SENDCO #parent #family #education #workplace #inclusion #diversity #Neurodiversity https://t.co/fRTE3Npg0h","Buffer",228,,,,FALSE,FALSE,0,0,,,"DS2023 dyslexia SEND support SENCO SENDCO parent family education workplace inclusion diversity Neurodiversity",,"buff.ly/3HPgrcX","https://t.co/TGw1ydTzWL","https://buff.ly/3HPgrcX","http://pbs.twimg.com/media/FV7qiTdXEAEn-g6.jpg","https://t.co/fRTE3Npg0h","https://twitter.com/dyslexiashowuk/status/1539926000267628548/photo/1","photo","http://pbs.twimg.com/media/FV7qiTdXEAEn-g6.jpg","https://t.co/fRTE3Npg0h","https://twitter.com/dyslexiashowuk/status/1539926000267628548/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/dyslexiashowuk/status/1539926000267628548","Dyslexia Show","United Kingdom","The UK’s first free to attend national exhibition dedicated entirely to dyslexia. Sign up for your FREE tickets today. #dyslexiaShow23 #DS2023","https://t.co/BKFlRkiOnu",FALSE,1778,418,6,2132,1035,2016-09-08 18:07:17,FALSE,"https://t.co/BKFlRkiOnu","https://dyslexiashow.co.uk",,"https://pbs.twimg.com/profile_banners/773945820349693957/1637876167","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1303247767725375489/db2uzFRS_normal.png"
"x318910982","x1539979329953832960",2022-06-23 14:30:58,"Johnmedlicott","Our #SEND team support mainstream,  #SEMHSchools &amp; #SpecialSchools  - with our  specialist #SEMH &amp; #SEND CPD on #ADHD #Autism #Behaviour management #Neurodiversity and more. Book your next INSET, audit or mock inspection with JMC. 
https://t.co/5Nzb26e1NC","Hootsuite Inc.",263,,,,FALSE,FALSE,0,0,,,"SEND SEMHSchools SpecialSchools SEMH SEND ADHD Autism Behaviour Neurodiversity",,"jmcinset.com/inset-supporti…","https://t.co/5Nzb26e1NC","https://jmcinset.com/inset-supporting-attention-deficit-hyperactivity-disorder",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Johnmedlicott/status/1539979329953832960","John Medlicott","United Kingdom","John is the Director of JMC Education. Multi-award winning educational consultancy, providing professional development & preparing schools for inspections","https://t.co/YI3C5AFzhd",FALSE,1415,1350,58,10960,824,2011-06-17 07:42:05,FALSE,"https://t.co/YI3C5AFzhd","http://www.jmcinset.com",,"https://pbs.twimg.com/profile_banners/318910982/1497530140","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1220050250183868416/la-avvFX_normal.jpg"
"x1173651271561162753","x1539933195302576128",2022-06-23 11:27:38,"BeyondTheDoorTO","Your greatest contribution to the world may not be something you do, it may be someone you raise #autism #asd #autismontario #autismspectrum #BeTheChange #neurodiversity #endthestigma #autismparents #aba #autismawareness https://t.co/Z0ZD323Adr","Twitter for iPhone",220,,,,FALSE,FALSE,2,1,,,"autism asd autismontario autismspectrum BeTheChange neurodiversity endthestigma autismparents aba autismawareness",,,,,"http://pbs.twimg.com/media/FV7xEvjWAAAw1Uq.jpg","https://t.co/Z0ZD323Adr","https://twitter.com/BeyondTheDoorTO/status/1539933195302576128/photo/1","photo","http://pbs.twimg.com/media/FV7xEvjWAAAw1Uq.jpg","https://t.co/Z0ZD323Adr","https://twitter.com/BeyondTheDoorTO/status/1539933195302576128/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BeyondTheDoorTO/status/1539933195302576128","Beyond The Door","Toronto, Ontario","Beyond the Door Behaviour Associates (BTD) is committed to helping children living with neurodevelopment disorders, (incl Autism) through 1:1 hands-on service.","https://t.co/xGVToP3VjW",FALSE,106,176,1,3059,14519,2019-09-16 17:34:29,FALSE,"https://t.co/xGVToP3VjW","http://www.beyondthedoor.ca",,"https://pbs.twimg.com/profile_banners/1173651271561162753/1570103316",,"http://pbs.twimg.com/profile_images/1173651726508986368/Lu0xCpFy_normal.jpg"
"x1173651271561162753","x1539976706823335940",2022-06-23 14:20:32,"BeyondTheDoorTO","It shouldn’t matter how slowly a child learns as long as we encourage them to keep learning #autism #asd #autismontario #autismspectrum #BeTheChange #neurodiversity #endthestigma #autismparents #aba #autismawareness https://t.co/WmmbApNFFs","Twitter for iPhone",215,,,,FALSE,FALSE,1,0,,,"autism asd autismontario autismspectrum BeTheChange neurodiversity endthestigma autismparents aba autismawareness",,,,,"http://pbs.twimg.com/media/FV8YpoZUUAA6KyW.jpg","https://t.co/WmmbApNFFs","https://twitter.com/BeyondTheDoorTO/status/1539976706823335940/photo/1","photo","http://pbs.twimg.com/media/FV8YpoZUUAA6KyW.jpg","https://t.co/WmmbApNFFs","https://twitter.com/BeyondTheDoorTO/status/1539976706823335940/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BeyondTheDoorTO/status/1539976706823335940","Beyond The Door","Toronto, Ontario","Beyond the Door Behaviour Associates (BTD) is committed to helping children living with neurodevelopment disorders, (incl Autism) through 1:1 hands-on service.","https://t.co/xGVToP3VjW",FALSE,106,176,1,3059,14519,2019-09-16 17:34:29,FALSE,"https://t.co/xGVToP3VjW","http://www.beyondthedoor.ca",,"https://pbs.twimg.com/profile_banners/1173651271561162753/1570103316",,"http://pbs.twimg.com/profile_images/1173651726508986368/Lu0xCpFy_normal.jpg"
"x1173651271561162753","x1539734535021248513",2022-06-22 22:18:14,"BeyondTheDoorTO","Beyond The Door Autism kids are more than capable! #autism #asd #autismontario #autismspectrum #BeTheChange #neurodiversity #endthestigma #autismparents #aba #autismawareness https://t.co/WBu4QGUtlH","Twitter for iPhone",174,,,,FALSE,FALSE,3,0,,,"autism asd autismontario autismspectrum BeTheChange neurodiversity endthestigma autismparents aba autismawareness",,,,,"http://pbs.twimg.com/media/FV48ZkkWAAMZWl8.jpg","https://t.co/WBu4QGUtlH","https://twitter.com/BeyondTheDoorTO/status/1539734535021248513/photo/1","photo","http://pbs.twimg.com/media/FV48ZkkWAAMZWl8.jpg","https://t.co/WBu4QGUtlH","https://twitter.com/BeyondTheDoorTO/status/1539734535021248513/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BeyondTheDoorTO/status/1539734535021248513","Beyond The Door","Toronto, Ontario","Beyond the Door Behaviour Associates (BTD) is committed to helping children living with neurodevelopment disorders, (incl Autism) through 1:1 hands-on service.","https://t.co/xGVToP3VjW",FALSE,106,176,1,3059,14519,2019-09-16 17:34:29,FALSE,"https://t.co/xGVToP3VjW","http://www.beyondthedoor.ca",,"https://pbs.twimg.com/profile_banners/1173651271561162753/1570103316",,"http://pbs.twimg.com/profile_images/1173651726508986368/Lu0xCpFy_normal.jpg"
"x1173651271561162753","x1539709659656994823",2022-06-22 20:39:23,"BeyondTheDoorTO","Autism-A sensory meltdown is not the same as a temper tantrum #autism #asd #autismontario #autismspectrum #BeTheChange #neurodiversity #endthestigma #autismparents #aba #autismawareness https://t.co/rxX2KDiKQZ","Twitter for iPhone",185,,,,FALSE,FALSE,6,1,,,"autism asd autismontario autismspectrum BeTheChange neurodiversity endthestigma autismparents aba autismawareness",,,,,"http://pbs.twimg.com/media/FV4lxj_WQAQJ2Rc.jpg","https://t.co/rxX2KDiKQZ","https://twitter.com/BeyondTheDoorTO/status/1539709659656994823/photo/1","photo","http://pbs.twimg.com/media/FV4lxj_WQAQJ2Rc.jpg","https://t.co/rxX2KDiKQZ","https://twitter.com/BeyondTheDoorTO/status/1539709659656994823/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BeyondTheDoorTO/status/1539709659656994823","Beyond The Door","Toronto, Ontario","Beyond the Door Behaviour Associates (BTD) is committed to helping children living with neurodevelopment disorders, (incl Autism) through 1:1 hands-on service.","https://t.co/xGVToP3VjW",FALSE,106,176,1,3059,14519,2019-09-16 17:34:29,FALSE,"https://t.co/xGVToP3VjW","http://www.beyondthedoor.ca",,"https://pbs.twimg.com/profile_banners/1173651271561162753/1570103316",,"http://pbs.twimg.com/profile_images/1173651726508986368/Lu0xCpFy_normal.jpg"
